x [m],y [m],u [m/s],v [m/s]
0.00571487,0.02299752,0.3134523951,-1.995661512
0.00595823,0.02299752,0.3583736091,-2.25066933
0.00620159,0.02299752,0.3470202567,-2.4179534730000003
0.00644495,0.02299752,0.3275824851,-2.400617115
0.00668831,0.02299752,0.31361499,-2.481409593
0.00693167,0.02299752,0.3664200033000001,-2.586691692
0.007175030000000001,0.02299752,0.4771234025999999,-2.5527977280000003
0.00741839,0.02299752,0.6155826182999999,-2.5019978490000003
0.00766175,0.02299752,0.7296810417,-2.654552628
0.00790511,0.02299752,0.7895418219000001,-3.1506359040000005
0.00814847,0.02299752,0.7043865075000001,-3.928682160000001
0.00839183,0.02299752,0.4445994033,-4.800367260000001
0.008635190000000001,0.02299752,0.2341658592,-5.43968919
0.00887855,0.02299752,0.2208639537,-5.836090689000001
0.00912191,0.02299752,0.2615975505,-6.274121958
0.00936527,0.02299752,0.1944974187,-6.706627434
0.00960863,0.02299752,0.11351362932,-6.596216523000001
0.00985199,0.02299752,0.1464318414,-5.844296484
0.01009535,0.02299752,0.2836876419,-4.799871414
0.010338710000000001,0.02299752,0.5479197165,-3.982274595
0.010582069999999999,0.02299752,0.9414437877,-3.4835843250000003
0.01082543,0.02299752,1.3000234923000002,-3.2800942980000003
0.01106879,0.02299752,1.407793491,-3.231597213
0.01131215,0.02299752,1.3402515087000002,-3.210341238
0.01155551,0.02299752,1.2633010767,-3.266133039
0.01179887,0.02299752,1.1015366427,-3.441644271
0.012042230000000001,0.02299752,0.7438455063,-3.62899953
0.012285589999999999,0.02299752,0.3236942007,-3.697420194
0.01252895,0.02299752,0.08076488706,-3.678622155
0.01277231,0.02299752,0.02798915301,-3.5893288080000003
0.01301567,0.02299752,0.05323312917,-3.517241013
0.013259030000000002,0.02299752,0.0814138521299999,-3.361992543
0.01350239,0.02299752,0.11828967579,-3.415355307
0.013745750000000001,0.02299752,0.1833313013999999,-4.00562955
0.013989109999999999,0.02299752,0.2738811465,-5.306683824
0.01423247,0.02299752,0.07306331877,-5.939894376
0.014475829999999999,0.02299752,0.3558443382,-6.6521467350000005
0.01471919,0.02299752,0.3175653312,-6.773817609
0.014962550000000002,0.02299752,-0.1096490421,-6.986430594000001
0.01520591,0.02299752,-0.6556500171,-6.347847870000001
0.015449270000000001,0.02299752,-0.3229733988,-6.816749355
0.01569263,0.02299752,-0.0399823140599999,-7.7307060870000015
0.01593599,0.02299752,-0.003095346033,-8.848920951
0.01617935,0.02299752,0.2284300161,-9.733455459
0.01642271,0.02299752,0.4962762908999999,-9.742751811
0.01666607,0.02299752,0.7569233685000001,-8.656719786
0.01690943,0.02299752,0.5070074022,-7.113917772000001
0.01715279,0.02299752,-0.02406325428,-6.981622713
0.01739615,0.02299752,-0.6080773959000001,-6.792136533000001
0.01763951,0.02299752,-0.9263025369,-7.124120640000001
0.01788287,0.02299752,-1.1048378211,-7.767537102
0.01812623,0.02299752,-1.0732810257,-8.546260203
0.01836959,0.02299752,-0.7466710679999999,-9.924985863000002
0.01861295,0.02299752,-0.2793079224000001,-11.144499327
0.01885631,0.02299752,0.4231732284,-11.989820934
0.01909967,0.02299752,0.4121406549,-11.574016038
0.01934303,0.02299752,-0.4077470943,-10.894221819
0.01958639,0.02299752,-1.1625765021,-9.317089314
0.01982975,0.02299752,-0.6946601688,-10.385401689000002
0.02007311,0.02299752,-0.1881863334,-11.563104384
0.02031647,0.02299752,0.1644258798,-11.600732403
0.02055983,0.02299752,0.8875678383000001,-10.33019091
0.020803190000000003,0.02299752,1.777128795,-11.240180874
