x [m],y [m],u [m/s],v [m/s]
0.00571487,0.02299752,-0.2952661023,-12.614716179
0.00595823,0.02299752,0.7261445646000001,-14.816704383
0.00620159,0.02299752,0.9357786711,-15.441572250000002
0.00644495,0.02299752,-0.4820424687,-14.341744755000002
0.00668831,0.02299752,5.199202359,-16.27953678
0.00693167,0.02299752,3.1334121,-18.5954418
0.007175030000000001,0.02299752,3.1709701530000003,-19.93536675
0.00741839,0.02299752,3.594434805,-14.939578368
0.00766175,0.02299752,6.088604067,-10.102812057
0.00790511,0.02299752,0.8379500805,-8.178129531000002
0.00814847,0.02299752,2.225118051,-12.708704853000002
0.00839183,0.02299752,1.1316795165000002,-10.414001052
0.008635190000000001,0.02299752,0.3375614619,-11.47941288
0.00887855,0.02299752,0.3909554064,-13.765679694
0.00912191,0.02299752,1.2202464339,-14.423603453999998
0.00936527,0.02299752,0.14469417495,-11.768777046
0.00960863,0.02299752,0.12241906911,-12.648543219
0.00985199,0.02299752,-0.0324014067,-12.971223369
0.01009535,0.02299752,-0.4683283722,-11.410315371
0.010338710000000001,0.02299752,-1.4757633306000002,-9.126549081
0.010582069999999999,0.02299752,-1.716119964,-7.751841903000001
0.01082543,0.02299752,-2.072811195,-6.764355468
0.01106879,0.02299752,-2.477715084,-6.694809264000001
0.01131215,0.02299752,-2.046575466,-6.638734557
0.01155551,0.02299752,-1.2633168951,-6.707897469
0.01179887,0.02299752,-1.1162199204000005,-6.666941502
0.012042230000000001,0.02299752,-1.779945687,-6.315765417000001
0.012285589999999999,0.02299752,-2.2296323790000003,-5.6644519230000006
0.01252895,0.02299752,-2.37788577,-5.112318276
0.01277231,0.02299752,-2.4215339070000006,-4.818635991000001
0.01301567,0.02299752,-2.565347499,-4.763682261
0.013259030000000002,0.02299752,-2.643531462,-4.641434928
0.01350239,0.02299752,-2.557223838,-4.349459205
0.013745750000000001,0.02299752,-2.289279915,-3.786070158
0.013989109999999999,0.02299752,-1.946921067,-3.0527017560000003
0.01423247,0.02299752,-1.642608513,-2.1704913360000004
0.014475829999999999,0.02299752,-1.5756099840000002,-1.3327928289000002
0.01471919,0.02299752,-1.646700003,-0.788103108
0.014962550000000002,0.02299752,-1.6450801380000002,-0.5707517517
0.01520591,0.02299752,-1.522085994,-0.490992489
0.015449270000000001,0.02299752,-1.3875439617,-0.4393785708
0.01569263,0.02299752,-1.0997508366000002,-0.5755155237
0.01593599,0.02299752,-0.6773805441,-0.913358979
0.01617935,0.02299752,-0.2874055743,-1.2509923842
0.01642271,0.02299752,-0.14067321372,-1.4143298364
0.01666607,0.02299752,-0.10877855859,-1.5898161240000002
0.01690943,0.02299752,-0.1420639857,-1.888485768
0.01715279,0.02299752,-0.1813289049,-2.2210508970000005
0.01739615,0.02299752,-0.2115641033999999,-2.5092636660000003
0.01763951,0.02299752,-0.210970305,-2.7607047390000004
0.01788287,0.02299752,-0.1984301163,-2.961450882
0.01812623,0.02299752,-0.1761229782,-3.109021344
0.01836959,0.02299752,-0.1713690927,-3.109123251
0.01861295,0.02299752,-0.1885556322,-2.8601112150000003
0.01885631,0.02299752,-0.1967290299,-2.4287328
0.01909967,0.02299752,-0.2701968282,-2.037542247
0.01934303,0.02299752,-0.4030242372,-1.7915068079999998
0.01958639,0.02299752,-0.4812159573,-1.648890243
0.01982975,0.02299752,-0.4048926336,-1.56608244
0.02007311,0.02299752,-0.3147613677,-1.5136838379
0.02031647,0.02299752,-0.3176085276,-1.4421510558
0.02055983,0.02299752,-0.3509821575,-1.3142542725000002
0.020803190000000003,0.02299752,-0.262253862,-1.1989760094000002
0.02104655,0.02299752,-0.07142997771,-1.2201334236
0.021289910000000002,0.02299752,0.08127773784,-1.3332363525000002
0.02153327,0.02299752,0.2289506544,-1.3767124644000002
0.02177663,0.02299752,0.4925352393,-1.356745689
0.02201999,0.02299752,0.8510046714000001,-1.4692926924
0.02226335,0.02299752,1.1164416822000005,-1.794609648
0.022506710000000003,0.02299752,1.2772862154,-2.312365653
0.02275007,0.02299752,1.353626118,-2.945043855
0.022993430000000002,0.02299752,1.3808136888,-3.439247175
0.02323679,0.02299752,1.3341884985,-3.601467909
0.02348015,0.02299752,1.2997521459,-3.492418293
0.02372351,0.02299752,1.2852700965,-3.243144645
0.02396687,0.02299752,1.4314748526,-2.821021515
0.02421023,0.02299752,1.977754779,-2.287503387
0.02445359,0.02299752,2.6274073410000005,-1.95170157
0.024696950000000002,0.02299752,3.0764217510000003,-1.969194591
0.02494031,0.02299752,3.39980004,-2.122552458
0.025183670000000002,0.02299752,3.820031046,-2.2311305640000003
0.02542703,0.02299752,4.07272086,-2.34726804
0.02567039,0.02299752,4.024042776,-2.431429533
0.02591375,0.02299752,3.726477378,-2.3899518630000003
